6.918,5.49
7.456,9.405
4.96,9.606
6.16,7.825
7.694,1.634
2.61,1.538
4.456,7.433
3.705,8.459
6.539,8.534
3.899,7.739
0.104,6.27
0.228,4.208
7.451,8.77
0.276,8.268
2.397,1.711
9.381,8.795
6.451,8.849
0.776,5.876
6.993,8.96
7.494,8.934
8.285,8.165
1.614,7.852
2.822,9.095
0.213,0.825
3.159,0.276
0.762,3.954
0.424,1.134
3.631,1.894
3.089,7.238
9.65,5.419
7.823,5.282
3.149,3.543
3.494,0.973
7.641,0.989
9.689,2.902
0.3,5.984
6.776,3.412
2.352,2.041
3.149,1.693
1.05,6.439
2.385,4.04
1.175,5.562
9.609,9.803
1.457,9.665
8.88,5.078
3.254,6.257
7.246,4.204
3.943,6.067
5.869,2.842
1.189,8.977
0.354,1.293
4.179,7.598
3.08,8.651
6.145,1.689
0.18,0.285
3.388,6.232
6.128,8.09
5.121,7.148
8.162,9.108
4.943,3.871
1.642,3.934
0.314,5.634
8.664,2.166
2.038,1.348
8.927,0.733
6.734,2.313
4.081,3.2
1.114,1.839
1.299,4.734
9.654,0.817
1.194,5.039
0.289,5.159
4.255,6.911
3.229,3.698
0.303,8.197
6.869,0.194
2.177,0.994
5.597,2.395
1.379,6.269
8.095,5.977
8.401,1.977
6.744,1.854
3.552,7.789
1.335,6.1
6.541,9.722
4.403,0.968
8.382,0.134
1.662,3.966
0.801,4.129
1.6,6.099
1.153,9.182
3.376,7.95
9.585,5.51
1.382,1.274
4.093,1.212
6.092,6.982
0.066,3.757
1.527,7.258
9.104,8.584
5.309,6.096
8.172,5.982
3.965,0.544
1.84,8.751
9.837,0.834
1.958,4.723
0.727,6.795
5.137,8.253
6.452,9.276
4.905,5.246
7.772,9.177
9.817,1.212
3.626,2.953
8.017,9.187
3.922,8.668
2.756,6.382
9.767,0.846
1.64,8.112
3.351,3.557
3.165,9.765
3.684,7.339
0.043,0.783
3.778,8.374
6.187,9.664
6.869,9.96
1.201,9.972
5.978,9.744
0.461,6.291
6.929,7.714
8.002,6.333
5.231,8.686
3.16,7.424
0.733,6.093
5.668,4.251
8.917,0.753
9.254,0.813
2.165,1.776
0.394,7.335
9.449,9.431
8.11,7.608
5.167,7.456
0.81,0.002
5.317,1.163
4.99,4.744
2.202,0.021
9.394,6.022
7.814,7.522
3.395,8.821
4.025,4.818
5.927,4.169
9.239,6.445
7.033,0.076
8.297,7.001
4.266,8.655
0.765,6.897
6.785,0.355
7.484,5.687
0.139,3.795
7.102,3.548
5.006,3.487
2.139,3.52
1.263,7.462
7.261,0.432
6.306,5.47
2.407,4.124
1.27,4.038
5.772,4.253
8.028,4.464
6.329,4.178
4.342,2.88
3.816,2.505
9.122,9.569
5.746,4.313
7.046,7.009
2.613,5.058
8.424,6.127
0.139,3.343
7.717,3.217
1.082,3.985
3.161,3.494
9.626,2.451
6.79,6.813
0.874,2.063
7.942,9.032
8.998,6.199
5.521,7.482
8.419,1.252
3.535,9.153
2.189,5.576
9.002,2.692
5.414,5.856
2.159,6.101
6.643,1.285
8.724,7.999
6.478,4.944
0.222,0.199
1.196,4.238
0.788,7.557
8.954,2.416
0.4,5.974
8.088,1.466
9.127,1.087
4.3,4.666
0.798,0.685
0.607,1.9
3.689,9.681
1.837,4.442
7.096,6.446
2.343,9.935
7.13,5.106
0.697,2.1
0.943,5.942
0.497,8.968
3.518,4.392
2.751,2.111
1.385,6.795
7.881,2.911
7.482,3.574
7.081,6.65
4.582,3.824
8.84,5.663
8.07,3.889
1.841,4.421
8.43,2.946
3.069,9.51
1.407,6.541
2.141,7.981
2.604,1.183
7.319,7.757
7.414,7.635
0.222,5.32
2.265,4.299
7.47,1.084
2.613,7.187
2.827,7.934
9.766,0.064
9.275,5.831
0.1,9.346
4.871,9.045
1.421,1.456
8.548,8.125
5.581,2.654
4.231,9.785
0.94,6.664
8.571,6.04
2.915,1.466
2.454,4.722
4.12,1.381
7.216,8.668
4.864,2.1
8.077,7.8
2.361,0.633
1.017,0.359
6.234,0.95
6.086,0.694
8.348,3.601
9.724,9.875
3.826,3.849
5.294,4.352
5.922,5.661
1.753,1.73
7.159,5.702
3.043,7.461
6.618,0.46
3.063,7.874
8.278,4.605
2.714,8.326
9.646,0.852
0.992,2.081
9.03,9.912
2.832,6.458
9.665,4.501
6.584,1.52
3.983,8.958
1.256,5.384
6.699,2.094
2.548,2.2
1.465,4.339
1.416,1.449
4.94,1.814
4.336,0.084
5.036,1.844
4.26,3.094
9.31,1.622
1.352,8.978
3.52,9.294
0.996,7.925
3.73,4.827
6.498,2.293
5.317,9.073
8.786,1.933
0.615,8.732
9.107,6.117
9.157,1.707
5.044,6.583
9.243,4.325
3.375,4.497
9.86,0.032
5.128,5.381
8.217,0.079
8.066,6.749
1.706,9.487
4.11,2.42
5.448,8.092
8.383,0.086
1.408,9.104
0.982,5.115
4.85,2.241
4.991,0.974
9.742,4.23
3.593,8.053
7.83,0.178
7.205,1.952
1.999,0.083
0.313,1.944
6.169,6.019
3.721,4.975
2.132,3.528
4.805,2.05
4.267,7.824
1.201,6.872
4.479,1.385
3.031,6.414
0.66,4.515
4.214,7.657
8.822,6.736
7.458,9.449
6.267,1.259
4.408,7.459
0.853,2.386
7.871,3.114
5.073,1.822
4.233,3.617
6.944,2.156
7.09,2.376
8.492,7.287
8.303,0.708
3.894,4.045
9.919,7.018
8.459,1.822
4.71,4.529
3.37,8.431
5.964,6.435
7.64,9.489
0.183,4.509
4.491,9.094
7.75,3.448
3.483,3.571
3.738,0.366
5.719,3.033
8.435,1.803
2.554,3.098
5.653,1.635
8.722,2.165
3.462,3.333
8.631,6.154
5.886,8.495
9.44,6.366
8.031,6.35
9.995,8.082
8.749,2.804
0.014,1.692
6.427,1.242
8.465,8.204
6.901,3.539
7.238,0.185
0.324,5.97
3.35,0.603
6.48,6.366
5.741,1.622
4.135,3.667
5.893,2.602
4.261,6.146
4.722,0.816
6.675,2.964
7.259,7.332
7.771,2.405
0.44,8.696
7.798,7.214
7.27,1.002
8.378,8.674
8.258,5.473
4.498,6.436
4.375,4.181
5.136,5.174
0.201,1.687
2.948,4.5
2.152,0.387
3.786,1.908
5.033,0.262
4.093,7.291
4.161,0.723
0.358,1.185
8.542,9.637
2.684,9.075
4.774,7.903
9.622,8.018
1.914,8.085
2.649,4.629
5.898,7.985
5.901,0.036
3.763,7.036
7.274,7.559
3.141,7.735
6.588,1.32
0.267,4.261
5.815,7.392
9.172,3.463
4.131,0.785
2.176,8.852
8.821,7.556
1.416,6.387
9.896,5.722
4.059,2.716
9.175,4.14
3.664,7.578
0.876,8.782
7.022,3.154
1.625,0.332
2.754,4.039
3.221,5.861
6.087,3.594
3.36,6.87
3.993,9.119
8.871,6.071
9.574,1.903
8.096,6.849
8.488,2.165
6.142,0.2
6.311,3.615
8.824,0.703
4.93,8.092
8.035,8.43
1.72,4.358
7.524,6.175
8.191,5.261
9.152,7.14
8.799,4.693
8.455,7.587
3.353,8.071
7.939,9.627
4.523,9.078
4.281,1.97
9.612,0.543
6.257,8.836
2.192,1.112
4.376,8.55
3.044,8.054
6.792,5.785
3.967,5.996
0.833,2.346
0.99,0.861
1.808,7.626
3.732,9.09
6.25,2.049
4.202,9.208
1.139,4.664
3.952,5.182
2.174,5.683
2.189,0.78
0.384,0.498
6.89,6.279
5.44,4.24
0.602,5.204
5.398,4.456
6.117,9.327
8.478,1.683
7.869,3.152
4.461,1.02
7.815,8.27
7.245,1.639
7.507,1.465
0.742,0.929
3.369,7.132
0.094,5.742
4.81,4.895
9.391,4.332
3.052,7.789
9.393,6.099
4.885,3.215
6.119,2.492
3.652,8.778
0.989,8.931
1.566,9.212
5.9,0.415
4.281,1.015
4.9,1.303
4.582,1.163
0.182,3.434
7.202,1.691
5.713,9.976
6.093,7.717
9.397,3.896
8.104,3.614
2.413,0.656
8.621,3.092
4.135,9.714
0.344,4.687
4.837,5.876
1.353,2.002
6.06,1.235
9.126,6.218
4.58,2.75
0.062,3.52
0.379,3.488
1.097,3.332
4.579,4.613
4.531,5.811
6.183,8.114
5.758,2.729
1.018,8.181
7.696,1.12
4.545,5.276
5.377,0.09
9.558,8.353
7.588,9.05
0.607,6.619
0.248,0.395
5.18,7.197
9.452,1.683
7.969,5.312
4.093,5.216
8.956,5.174
1.968,6.802
3.497,6.264
7.243,0.084
6.077,6.931
9.849,2.203
2.691,0.345
1.148,0.539
2.804,1.298
8.903,8.758
5.53,1.466
2.08,2.095
8.305,2.996
7.935,2.785
9.568,1.728
2.659,3.466
4.575,0.547
7.974,4.237
7.963,6.682
6.223,0.66
9.209,1.458
5.797,7.432
7.777,6.316
6.554,1.195
0.429,5.571
